respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.09053694,0.259924218
26708,0.047752696,0.034903671
26709,0.47389576,0.635652155
26710,0.497931761,0.876300816
26711,0.161871212,0.447712235
26712,0.443051212,0.91315937
26713,0.366585255,0.618813505
26714,0.139640727,0.216756378
26715,0.040082094,0.1561059
26716,0.237104834,0.894211953
26717,0.014894305,0.329714694
26718,0.210878453,0.485228735
26719,0.07086958,0.902944663
26720,0.084002054,0.166522953
26721,0.418935183,0.419968353
26722,0.050081702,0.072052152
26723,0.677232946,0.865427357
26724,0.118334721,0.629224467
26725,0.03727003,0.090088983
26726,0.011366966,0.033728977
26727,0.340461413,0.832478143
26728,0.202036149,0.53274886
26729,0.06981539,0.327456084
26730,0.031235094,0.179735444
26731,0.020656792,0.332390297
26732,0.089047527,0.0822078
26733,0.920046765,0.955436786
26734,0.850366762,0.393883702
26735,0.15695583,0.476301661
26736,0.076962377,0.16543475
26737,0.078314641,0.084139698
26738,0.646325931,0.854664356
26739,0.095687555,0.232468445
26740,0.171179301,0.138572038
26741,0.187338268,0.905902287
26742,0.157696311,0.423506439
26743,0.043131574,0.494810796
26744,0.04840308,0.578051963
26745,0.111001189,0.929080476
26746,0.114170474,0.311462066
26747,0.094029563,0.250844748
26748,0.131587878,0.084187682
26749,0.067410339,0.686884744
26750,0.676476331,0.93323946
26751,0.257294742,0.679762656
26752,0.019769373,0.017117621
26753,0.207684654,0.667268871
26754,0.116715386,0.571542241
26755,0.092797187,0.370348231
26756,0.015895922,0.033061434
26757,0.482879872,0.551916752
26758,0.649566944,0.864143287
26759,0.031960099,0.190870838
26760,0.015311348,0.028790532
26761,0.160454218,0.62671431
26762,0.166549932,0.862267404
26763,0.900726839,0.972392705
26764,0.91798785,0.958390885
26765,0.027376395,0.695396446
26766,0.157896616,0.172641796
26767,0.781975721,0.715834155
26768,0.010336584,0.408393721
26769,0.142010598,0.176383969
26770,0.120353308,0.656635602
26771,0.069564075,0.23011535
26772,0.084125379,0.375378281
26773,0.010910557,0.382169784
26774,0.03099763,0.476035461
26775,0.103842285,0.479037824
26776,0.355554318,0.309690685
26777,0.135832355,0.929071735
26778,0.134134528,0.126152315
26779,0.106974061,0.549121566
26780,0.141513353,0.954537256
26781,0.044009681,0.501767894
26782,0.038870248,0.27074423
26783,0.073389898,0.380556052
26784,0.373745858,0.850652014
26785,0.385259974,0.58656222
26786,0.121337562,0.270029271
26787,0.103949831,0.524371003
26788,0.128744044,0.94673807
26789,0.009749148,0.241567364
26790,0.065434123,0.321975516
26791,0.08705588,0.131584166
26792,0.194165111,0.737200434
26793,0.121838026,0.901581217
26794,0.786916028,0.896460067
26795,0.038406934,0.935643436
26796,0.056339979,0.061490995
26797,0.09703649,0.59231721
26798,0.160794841,0.183186987
26799,0.260319951,0.197841498
26800,0.032078405,0.911421048
26801,0.269340514,0.399485661
26802,0.116380442,0.194385113
26803,0.04715403,0.171294265
26804,0.067653672,0.132298296
26805,0.085481162,0.208971695
26806,0.079698079,0.912868407
26807,0.709727165,0.960910022
26808,0.203106222,0.529458341
26809,0.67647692,0.133278676
26810,0.039570206,0.090724158
26811,0.043030069,0.05495284
26812,0.140355312,0.692757926
26813,0.357365178,0.346449884
26814,0.034052925,0.521556297
